Date,Serial Number,Energy Production (Wh),Serial Conversion
2/29/2020,64498,23804,8
2/29/2020,64713,24125,9
2/29/2020,77114,23677,14
2/29/2020,79643,23691,6
2/29/2020,80627,23884,11
2/29/2020,82424,24044,3
2/29/2020,85922,23850,10
2/29/2020,89854,23807,12
2/29/2020,89879,20302,7
2/29/2020,89961,23921,5
2/29/2020,89968,23849,4
2/29/2020,89971,23996,13
2/29/2020,89975,23866,15
2/29/2020,90005,24104,2
2/29/2020,90015,24178,1
3/31/2020,64498,30438,8
3/31/2020,64713,30765,9
3/31/2020,77114,30071,14
3/31/2020,79643,30167,6
3/31/2020,80627,30389,11
3/31/2020,82424,30613,3
3/31/2020,85922,30228,10
3/31/2020,89854,30232,12
3/31/2020,89879,28093,7
3/31/2020,89961,30581,5
3/31/2020,89968,30481,4
3/31/2020,89971,30364,13
3/31/2020,89975,30263,15
3/31/2020,90005,30754,2
3/31/2020,90015,30911,1
4/30/2020,64498,43672,8
4/30/2020,64713,43766,9
4/30/2020,77114,43187,14
4/30/2020,79643,42971,6
4/30/2020,80627,43496,11
4/30/2020,82424,43730,3
4/30/2020,85922,43258,10
4/30/2020,89854,43225,12
4/30/2020,89879,42156,7
4/30/2020,89961,43654,5
4/30/2020,89968,43675,4
4/30/2020,89971,43468,13
4/30/2020,89975,43413,15
4/30/2020,90005,43872,2
4/30/2020,90015,43976,1
5/31/2020,64498,41651,8
5/31/2020,64713,41790,9
5/31/2020,77114,41157,14
5/31/2020,79643,41158,6
5/31/2020,80627,41532,11
5/31/2020,82424,41674,3
5/31/2020,85922,41143,10
5/31/2020,89854,41176,12
5/31/2020,89879,41778,7
5/31/2020,89961,41642,5
5/31/2020,89968,41642,4
5/31/2020,89971,41466,13
5/31/2020,89975,41424,15
5/31/2020,90005,41846,2
5/31/2020,90015,41932,1
6/30/2020,64498,43402,8
6/30/2020,64713,43578,9
6/30/2020,77114,42825,14
6/30/2020,79643,42819,6
6/30/2020,80627,43280,11
6/30/2020,82424,43365,3
6/30/2020,85922,42680,10
6/30/2020,89854,42943,12
6/30/2020,89879,43819,7
6/30/2020,89961,43455,5
6/30/2020,89968,43358,4
6/30/2020,89971,43261,13
6/30/2020,89975,43109,15
6/30/2020,90005,43573,2
6/30/2020,90015,43732,1
7/31/2020,64498,42639,8
7/31/2020,64713,42904,9
7/31/2020,77114,42140,14
7/31/2020,79643,42187,6
7/31/2020,80627,42546,11
7/31/2020,82424,42613,3
7/31/2020,85922,42085,10
7/31/2020,89854,42334,12
7/31/2020,89879,43065,7
7/31/2020,89961,42828,5
7/31/2020,89968,42574,4
7/31/2020,89971,42641,13
7/31/2020,89975,42453,15
7/31/2020,90005,42815,2
7/31/2020,90015,43004,1
8/31/2020,64498,39379,8
8/31/2020,64713,39611,9
8/31/2020,77114,38889,14
8/31/2020,79643,38911,6
8/31/2020,80627,39292,11
8/31/2020,82424,39316,3
8/31/2020,85922,39079,10
8/31/2020,89854,39043,12
8/31/2020,89879,38851,7
8/31/2020,89961,39520,5
8/31/2020,89968,39267,4
8/31/2020,89971,39347,13
8/31/2020,89975,39232,15
8/31/2020,90005,39464,2
8/31/2020,90015,39649,1
9/30/2020,64498,36710,8
9/30/2020,64713,36917,9
9/30/2020,77114,36151,14
9/30/2020,79643,36282,6
9/30/2020,80627,36501,11
9/30/2020,82424,36753,3
9/30/2020,85922,36447,10
9/30/2020,89854,36385,12
9/30/2020,89879,33836,7
9/30/2020,89961,36885,5
9/30/2020,89968,36784,4
9/30/2020,89971,36623,13
9/30/2020,89975,36359,15
9/30/2020,90005,36886,2
9/30/2020,90015,37046,1
10/31/2020,64498,37936,8
10/31/2020,64713,38413,9
10/31/2020,77114,37716,14
10/31/2020,79643,37791,6
10/31/2020,80627,37812,11
10/31/2020,82424,38042,3
10/31/2020,85922,37906,10
10/31/2020,89854,38037,12
10/31/2020,89879,30960,7
10/31/2020,89961,38447,5
10/31/2020,89968,37897,4
10/31/2020,89971,38290,13
10/31/2020,89975,37768,15
10/31/2020,90005,38397,2
10/31/2020,90015,38641,1
11/30/2020,64498,33759,8
11/30/2020,64713,34164,9
11/30/2020,77114,33742,14
11/30/2020,79643,33512,6
11/30/2020,80627,33770,11
11/30/2020,82424,33750,3
11/30/2020,85922,33663,10
11/30/2020,89854,33858,12
11/30/2020,89879,26603,7
11/30/2020,89961,34110,5
11/30/2020,89968,33587,4
11/30/2020,89971,34210,13
11/30/2020,89975,33853,15
11/30/2020,90005,34108,2
11/30/2020,90015,34334,1
12/31/2020,64498,32688,8
12/31/2020,64713,32738,9
12/31/2020,77114,32696,14
12/31/2020,79643,32283,6
12/31/2020,80627,32720,11
12/31/2020,82424,32493,3
12/31/2020,85922,32445,10
12/31/2020,89854,32522,12
12/31/2020,89879,25287,7
12/31/2020,89961,32564,5
12/31/2020,89968,32392,4
12/31/2020,89971,33058,13
12/31/2020,89975,32956,15
12/31/2020,90005,32753,2
12/31/2020,90015,32768,1
1/31/2021,64498,29190,8
1/31/2021,64713,29634,9
1/31/2021,77114,29538,14
1/31/2021,79643,28959,6
1/31/2021,80627,29370,11
1/31/2021,82424,29485,3
1/31/2021,85922,29168,10
1/31/2021,89854,29241,12
1/31/2021,89879,23207,7
1/31/2021,89961,29400,5
1/31/2021,89968,29357,4
1/31/2021,89971,29460,13
1/31/2021,89975,29377,15
1/31/2021,90005,29805,2
1/31/2021,90015,29997,1
2/28/2021,64498,28047,8
2/28/2021,64713,28454,9
2/28/2021,77114,28005,14
2/28/2021,79643,28064,6
2/28/2021,80627,28026,11
2/28/2021,82424,28163,3
2/28/2021,85922,28065,10
2/28/2021,89854,28179,12
2/28/2021,89879,23254,7
2/28/2021,89961,28382,5
2/28/2021,89968,28020,4
2/28/2021,89971,28267,13
2/28/2021,89975,28093,15
2/28/2021,90005,28399,2
2/28/2021,90015,28549,1
